trade_id,strategy,book,entry_time,exit_time,lots,lot_size,calculated_pnl,reported_final_pnl
2026-02-24T10:49:46.583267,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T10:50:52.584720,2026-02-24T15:22:03.277289,635,65,2063.75,-159432.63
2026-02-24T12:15:01.981345,CALL_BACKSPREAD,CONVEX,2026-02-24T12:16:37.365339,2026-02-24T12:51:27.614291,20,65,-682.5,1982.5
2026-02-24T12:15:36.876787,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T12:17:28.757191,2026-02-24T13:10:42.454898,599,65,-20440.88,19197.95
2026-02-24T12:27:37.949350,CALL_BACKSPREAD,CONVEX,2026-02-24T12:28:49.032816,2026-02-24T13:14:10.950186,20,65,65.0,-1397.5
2026-02-24T12:28:06.568681,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T12:29:37.858178,2026-02-24T13:15:15.593186,588,65,-1911.0,46966.5
2026-02-24T12:43:44.901935,CALL_BACKSPREAD,CONVEX,2026-02-24T12:45:13.217819,2026-02-24T13:33:50.992536,20,65,292.5,-4582.5
2026-02-24T12:44:21.821873,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T12:46:14.353688,2026-02-24T14:23:39.769507,600,65,22425.0,-8010.0
2026-02-24T13:03:35.788014,CALL_BACKSPREAD,CONVEX,2026-02-24T13:05:27.237585,2026-02-24T13:48:22.453406,20,65,487.5,-1657.5
2026-02-24T13:04:15.889126,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T13:04:15.895948,2026-02-24T14:06:32.284730,603,65,22537.12,3859.2
2026-02-24T13:24:34.432396,CALL_BACKSPREAD,CONVEX,2026-02-24T13:26:12.008301,2026-02-24T14:09:25.768997,20,65,-325.0,-3640.0
2026-02-24T13:25:13.062422,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T13:27:11.027079,2026-02-24T14:24:28.789589,600,65,-17550.0,750.0
2026-02-24T13:41:46.827777,CALL_BACKSPREAD,CONVEX,2026-02-24T13:42:53.904998,2026-02-24T14:27:15.886099,20,65,-747.5,2600.0
2026-02-24T13:42:12.873300,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T13:42:12.879345,2026-02-24T14:51:17.241862,620,65,9067.5,94503.5
2026-02-24T13:59:23.304765,CALL_BACKSPREAD,CONVEX,2026-02-24T14:01:09.920239,2026-02-24T14:42:49.686619,20,65,-162.5,1365.0
2026-02-24T14:00:02.419099,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T14:02:21.949769,2026-02-24T14:52:05.380291,592,65,8658.0,7104.0
2026-02-24T14:18:31.724404,CALL_BACKSPREAD,CONVEX,2026-02-24T14:19:55.903364,2026-02-24T14:55:15.961292,20,65,-162.5,552.5
2026-02-24T14:18:59.939523,IRON_CONDOR_WEEKLY,INCOME,2026-02-24T14:20:48.410994,2026-02-24T14:56:25.335333,597,65,-5820.75,16148.85
